Variable,Value
CarbonDeep,3213.019
CarbonShallow,3562.646
CarbonMinSum,23913.28
OrganicNSum,2121.3805665029
AvailableNSum,0.5276505
GPPAll3,398.1823332786
NPPAll3,199.0911666393
VEGCL3,139.03329325
VEGCW3,0
VEGCR3,242.5761381474
VEGCSUM3,381.6094313974
VEGNL3,5.496621109
VEGNW3,0
VEGNR3,5.1068660663
VEGNSUM3,10.6034871753
VEGLBLN3,2.1206974351
