,,,,,,,,,
nfallw7,none,factor,0,0.001,0.0833,nfallw7,1,0,1
nfallr7,none,factor,0,0.001,0.0833,nfallr7,1,0,1
krb07,none,factor,-3.1,-10,-0.001,krb07,1,0,1
krb17,none,factor,0,-10,-0.001,krb17,1,0,1
krb27,none,factor,0,-10,-0.001,krb27,1,0,1
cmax8,log,factor,86.1,100,1000,cmax8,1,0,1
nmax8,log,factor,0.1,0.5,100,nmax8,1,0,1
cfalll8,log,factor,0.018,0.001,0.0833,cfalll8,1,0,1
cfallw8,none,factor,0,0.001,0.0833,cfallw8,1,0,1
cfallr8,none,factor,0,0.001,0.0833,cfallr8,1,0,1
nfalll8,log,factor,0.02,0.001,0.0833,nfalll8,1,0,1
nfallw8,none,factor,0,0.001,0.0833,nfallw8,1,0,1
nfallr8,none,factor,0,0.001,0.0833,nfallr8,1,0,1
krb08,none,factor,-3.9,-10,-0.001,krb08,1,0,1
krb18,none,factor,0,-10,-0.001,krb18,1,0,1
krb28,none,factor,0,-10,-0.001,krb28,1,0,1
mnup,log,factor,2.65253,2.65253,100,mnup,1,0,1
kdcmoss,log,factor,0.0057042,0.0001,0.9,kdcmoss,1,0,1
kdcrawc,log,factor,0.0907042,0.0001,0.9,kdcrawc,1,0,1
kdcsoma,log,factor,0.0158046,0.0001,0.9,kdcsoma,1,0,1
kdcsompr,log,factor,0.0020805,0.0001,0.9,kdcsompr,1,0,1
kdcsomcr,log,factor,0.0000108,0.0001,0.9,kdcsomcr,1,0,1
imossc,log,factor,100,50,5000,imossc,1,0,1
ishlwc,log,factor,1783,10,4000,ishlwc,1,0,1
ideepc,log,factor,5021,10,4000,ideepc,1,0,1
iminec,log,factor,9000,100,300000,iminec,1,0,1
isoln,log,factor,363,10,10000,isoln,1,0,1
iavln,log,factor,0.76,0.01,20,iavln,1,0,1
turnon,log,factor,200,1,600,turnon,1,0,1
