Variable,Value
CarbonDeep,34104.6641286214
CarbonShallow,4714.07105636597
CarbonMineralSum,170737.317042033
OrganicNitrogenSum,5895.99999427795
AvailableNitrogenSum,0
RH,407.490658071445
GPPAll3,11.6379829961807
NPPAll3,4.64665555953979
VEGCL3,10.1888627211253
VEGCW3,12.1000735759735
VEGCR3,12.1000716686249
VEGCSUM3,34.3890079657237
VEGNL3,0.7086301445961
VEGNW3,11.2410526275635
VEGNR3,1.60307574272156
VEGNSUM3,13.5527585148811
VEGLBLN3,0.713303089141846
GPPAll4,27.1438890397549
NPPAll4,18.089159488678
VEGCL4,9.07471783955892
VEGCW4,0
VEGCR4,9.07471783955892
VEGCSUM4,18.1494356791178
VEGNL4,9.7310094833374
VEGNW4,0
VEGNR4,8.17995452880859
VEGNSUM4,17.910964012146
VEGLBLN4,0.942682325839996
GPPAll5,43.8365335464477
NPPAll5,29.7827892303467
VEGCL5,14.941961367925
VEGCW5,0
VEGCR5,14.941961367925
VEGCSUM5,29.88392273585
VEGNL5,0.46683406829834
VEGNW5,0
VEGNR5,0.811902403831482
VEGNSUM5,1.27873647212982
VEGLBLN5,0.0673019215464592
GPPAll6,3.4274120926857
NPPAll6,2.08732891082764
VEGCL6,8.4077907859489e-45
VEGCW6,0
VEGCR6,2.09481944640478
VEGCSUM6,2.09481944640478
VEGNL6,9.7310094833374
VEGNW6,0
VEGNR6,8.17995452880859
VEGNSUM6,17.910964012146
VEGLBLN6,0.942682325839996
